STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	0	-6	0	2166	300	196	16	10	12	2024
ALASKA	0	0	0	0	-13	-20	-999	-999	12	2024
ARIZONA	0	-1	0	2950	88	277	3	10	12	2024
ARKANSAS	0	-1	0	1971	209	-25	12	-1	12	2024
CALIFORNIA	0	-1	0	1061	156	279	17	36	12	2024
COLORADO	0	0	0	529	256	112	94	27	12	2024
CONNECTICUT	0	0	0	647	80	11	14	2	12	2024
DELAWARE	0	0	0	1362	305	170	29	14	12	2024
DISTRCT COLUMBIA	0	0	0	1404	-127	497	-8	55	12	2024
FLORIDA	74	-28	-5	3430	5	-115	0	-3	12	2024
GEORGIA	0	-5	0	1986	284	277	17	16	12	2024
HAWAII	291	5	0	4389	80	1724	2	65	12	2024
IDAHO	0	0	0	581	125	48	27	9	12	2024
ILLINOIS	0	0	0	1019	144	92	16	10	12	2024
INDIANA	0	0	0	943	49	189	5	25	12	2024
IOWA	0	0	0	909	71	-52	8	-5	12	2024
KANSAS	0	0	0	1441	0	-47	0	-3	12	2024
KENTUCKY	0	-1	0	1389	215	256	18	23	12	2024
LOUISIANA	24	8	16	2679	103	-110	4	-4	12	2024
MAINE	0	0	0	378	150	44	66	13	12	2024
MARYLAND	0	0	0	1281	257	212	25	20	12	2024
MASSACHUSETTS	0	0	0	601	149	11	33	2	12	2024
MICHIGAN	0	0	0	550	-18	116	-3	27	12	2024
MINNESOTA	0	0	0	564	81	-104	17	-16	12	2024
MISSISSIPPI	0	-7	0	2460	380	43	18	2	12	2024
MISSOURI	0	0	0	1300	50	-7	4	-1	12	2024
MONTANA	0	0	0	349	101	43	41	14	12	2024
NEBRASKA	0	0	0	1007	-1	-110	0	-10	12	2024
NEVADA	0	0	0	1912	-9	431	0	29	12	2024
NEW HAMPSHIRE	0	0	0	484	180	57	59	13	12	2024
NEW JERSEY	0	0	0	991	225	145	29	17	12	2024
NEW MEXICO	0	0	0	921	28	-18	3	-2	12	2024
NEW YORK	0	0	0	630	9	-31	1	-5	12	2024
NORTH CAROLINA	0	-2	0	1671	284	244	20	17	12	2024
NORTH DAKOTA	0	0	0	485	33	-80	7	-14	12	2024
OHIO	0	0	0	774	36	175	5	29	12	2024
OKLAHOMA	0	0	0	2142	267	126	14	6	12	2024
OREGON	0	0	0	422	185	-8	78	-2	12	2024
PENNSYLVANIA	0	0	0	842	181	189	27	29	12	2024
RHODE ISLAND	0	0	0	627	150	6	31	1	12	2024
SOUTH CAROLINA	0	-5	0	2084	283	252	16	14	12	2024
SOUTH DAKOTA	0	0	0	773	42	-75	6	-9	12	2024
TENNESSEE	0	-1	0	1558	209	229	15	17	12	2024
TEXAS	23	12	14	3136	488	-111	18	-3	12	2024
UTAH	0	0	0	822	151	146	23	22	12	2024
VERMONT	0	0	0	304	28	61	10	25	12	2024
VIRGINIA	0	0	0	1365	316	210	30	18	12	2024
WASHINGTON	0	0	0	294	96	-55	48	-16	12	2024
WEST VIRGINIA	0	0	0	1090	319	294	41	37	12	2024
WISCONSIN	0	0	0	497	-5	-22	-1	-4	12	2024
WYOMING	0	0	0	294	-2	47	-1	19	12	2024
