STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	10	-17	-16	17	-28	-17	-999	-999	3	2022
ALASKA	0	0	0	0	0	0	-999	-999	3	2022
ARIZONA	33	-4	16	33	-19	13	-999	-999	3	2022
ARKANSAS	0	-17	-2	0	-20	-2	-999	-999	3	2022
CALIFORNIA	0	-7	0	0	-12	0	-999	-999	3	2022
COLORADO	0	0	0	0	0	0	-999	-999	3	2022
CONNECTICUT	0	0	0	0	0	0	-999	-999	3	2022
DELAWARE	0	0	-4	0	0	-4	-999	-999	3	2022
DISTRCT COLUMBIA	2	-2	-4	2	-2	-4	-999	-999	3	2022
FLORIDA	213	72	12	395	67	-25	20	-6	3	2022
GEORGIA	4	-18	-16	13	-24	-7	-999	-999	3	2022
HAWAII	345	73	66	888	165	-5	23	-1	3	2022
IDAHO	0	0	0	0	0	0	-999	-999	3	2022
ILLINOIS	0	-1	0	0	-1	0	-999	-999	3	2022
INDIANA	0	-2	0	0	-2	0	-999	-999	3	2022
IOWA	0	-1	0	0	-1	0	-999	-999	3	2022
KANSAS	0	-7	0	0	-8	0	-999	-999	3	2022
KENTUCKY	0	-8	0	0	-9	0	-999	-999	3	2022
LOUISIANA	56	0	-44	94	-9	-44	-9	-32	3	2022
MAINE	0	0	0	0	0	0	-999	-999	3	2022
MARYLAND	0	0	-3	0	0	-3	-999	-999	3	2022
MASSACHUSETTS	0	0	0	0	0	0	-999	-999	3	2022
MICHIGAN	0	0	0	0	0	0	-999	-999	3	2022
MINNESOTA	0	0	0	0	0	0	-999	-999	3	2022
MISSISSIPPI	15	-20	-33	27	-29	-30	-999	-999	3	2022
MISSOURI	0	-6	0	0	-6	0	-999	-999	3	2022
MONTANA	0	0	0	0	0	0	-999	-999	3	2022
NEBRASKA	0	-2	0	0	-2	0	-999	-999	3	2022
NEVADA	6	-9	6	6	-14	6	-999	-999	3	2022
NEW HAMPSHIRE	0	0	0	0	0	0	-999	-999	3	2022
NEW JERSEY	0	0	-1	0	0	-1	-999	-999	3	2022
NEW MEXICO	0	0	0	0	0	0	-999	-999	3	2022
NEW YORK	0	0	0	0	0	0	-999	-999	3	2022
NORTH CAROLINA	3	-7	-2	5	-9	0	-999	-999	3	2022
NORTH DAKOTA	0	0	0	0	0	0	-999	-999	3	2022
OHIO	0	-1	0	0	-1	0	-999	-999	3	2022
OKLAHOMA	0	-14	-1	0	-17	-1	-999	-999	3	2022
OREGON	0	0	0	0	0	0	-999	-999	3	2022
PENNSYLVANIA	0	0	0	0	0	0	-999	-999	3	2022
RHODE ISLAND	0	0	0	0	0	0	-999	-999	3	2022
SOUTH CAROLINA	5	-16	-14	16	-18	-3	-999	-999	3	2022
SOUTH DAKOTA	0	0	0	0	0	0	-999	-999	3	2022
TENNESSEE	1	-10	1	1	-13	1	-999	-999	3	2022
TEXAS	55	-6	-15	74	-20	-16	-999	-999	3	2022
UTAH	0	0	0	0	0	0	-999	-999	3	2022
VERMONT	0	0	0	0	0	0	-999	-999	3	2022
VIRGINIA	1	-1	-3	1	-1	-3	-999	-999	3	2022
WASHINGTON	0	0	0	0	0	0	-999	-999	3	2022
WEST VIRGINIA	0	-2	0	0	-2	0	-999	-999	3	2022
WISCONSIN	0	0	0	0	0	0	-999	-999	3	2022
WYOMING	0	0	0	0	0	0	-999	-999	3	2022
