STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	2	-13	-18	2	-13	-18	-999	-999	9	2023
ALASKA	532	-6	80	1017	-49	79	-5	8	9	2023
ARIZONA	0	-7	0	0	-7	0	-999	-999	9	2023
ARKANSAS	2	-24	-18	2	-26	-18	-999	-999	9	2023
CALIFORNIA	13	-18	10	13	-37	10	-999	-999	9	2023
COLORADO	143	-100	29	157	-178	39	-53	33	9	2023
CONNECTICUT	106	-9	-5	131	-2	10	-2	8	9	2023
DELAWARE	22	-20	-19	22	-21	-19	-999	-999	9	2023
DISTRCT COLUMBIA	0	-19	-17	0	-26	-17	-999	-999	9	2023
FLORIDA	0	0	0	0	0	0	-999	-999	9	2023
GEORGIA	8	-7	-21	8	-7	-21	-999	-999	9	2023
HAWAII	0	0	0	0	0	0	-999	-999	9	2023
IDAHO	173	-50	65	183	-129	75	-41	69	9	2023
ILLINOIS	70	-29	-33	90	-35	-19	-28	-17	9	2023
INDIANA	81	-15	-24	112	-7	-9	-6	-7	9	2023
IOWA	82	-49	-42	130	-41	-18	-24	-12	9	2023
KANSAS	21	-45	-19	21	-55	-20	-999	-999	9	2023
KENTUCKY	4	-52	-51	4	-57	-51	-999	-999	9	2023
LOUISIANA	0	-2	-10	0	-2	-10	-999	-999	9	2023
MAINE	115	-127	-73	138	-197	-69	-59	-33	9	2023
MARYLAND	39	-11	-4	39	-14	-4	-999	-999	9	2023
MASSACHUSETTS	104	-37	3	108	-59	7	-35	7	9	2023
MICHIGAN	97	-51	-17	117	-81	-3	-41	-2	9	2023
MINNESOTA	96	-139	-77	124	-201	-53	-62	-30	9	2023
MISSISSIPPI	0	-9	-16	0	-9	-16	-999	-999	9	2023
MISSOURI	36	-37	-25	41	-44	-20	-999	-999	9	2023
MONTANA	237	-96	41	297	-226	81	-43	38	9	2023
NEBRASKA	64	-58	-18	92	-62	-1	-40	-1	9	2023
NEVADA	13	-41	13	13	-55	13	-999	-999	9	2023
NEW HAMPSHIRE	118	-103	-59	143	-145	-38	-50	-21	9	2023
NEW JERSEY	64	-13	8	64	-19	8	-999	-999	9	2023
NEW MEXICO	24	-53	6	24	-69	4	-999	-999	9	2023
NEW YORK	61	-52	-2	61	-78	-2	-56	-3	9	2023
NORTH CAROLINA	38	11	-4	39	11	-4	-999	-999	9	2023
NORTH DAKOTA	162	-127	-30	319	-92	41	-22	15	9	2023
OHIO	97	-9	-12	123	-7	-4	-5	-3	9	2023
OKLAHOMA	5	-24	-2	5	-26	-2	-999	-999	9	2023
OREGON	180	25	94	205	-74	82	-27	67	9	2023
PENNSYLVANIA	114	4	-5	137	1	4	1	3	9	2023
RHODE ISLAND	109	4	-19	152	29	5	24	3	9	2023
SOUTH CAROLINA	8	-2	-17	8	-2	-17	-999	-999	9	2023
SOUTH DAKOTA	110	-87	-3	178	-96	39	-35	28	9	2023
TENNESSEE	24	-16	-32	26	-15	-30	-999	-999	9	2023
TEXAS	0	-5	-1	0	-5	-1	-999	-999	9	2023
UTAH	103	-61	33	103	-96	33	-48	47	9	2023
VERMONT	192	-58	-57	357	8	-24	2	-6	9	2023
VIRGINIA	27	-24	-17	27	-27	-17	-999	-999	9	2023
WASHINGTON	200	13	90	246	-91	90	-27	58	9	2023
WEST VIRGINIA	49	-41	-34	49	-58	-34	-54	-41	9	2023
WISCONSIN	118	-66	-57	197	-59	-50	-23	-20	9	2023
WYOMING	267	-37	77	325	-116	126	-26	63	9	2023
