STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	275	97	82	340	70	56	26	20	5	2024
ALASKA	0	0	0	0	0	0	-999	-999	5	2024
ARIZONA	215	-59	0	283	-154	-23	-35	-8	5	2024
ARKANSAS	234	82	40	286	80	60	39	27	5	2024
CALIFORNIA	3	-55	-14	3	-89	-15	-999	-999	5	2024
COLORADO	2	-2	-1	2	-2	-1	-999	-999	5	2024
CONNECTICUT	8	-10	3	8	-10	-2	-999	-999	5	2024
DELAWARE	119	62	60	138	79	53	-999	-999	5	2024
DISTRCT COLUMBIA	56	-51	-8	67	-65	-68	-49	-50	5	2024
FLORIDA	398	46	63	847	-34	-219	-4	-21	5	2024
GEORGIA	230	71	73	280	46	61	20	28	5	2024
HAWAII	366	8	-32	1435	45	-302	3	-17	5	2024
IDAHO	2	-12	-22	2	-13	-23	-999	-999	5	2024
ILLINOIS	60	-10	12	62	-12	-4	-999	-999	5	2024
INDIANA	69	-6	35	81	0	34	-999	-999	5	2024
IOWA	66	-2	-18	66	-7	-32	-999	-999	5	2024
KANSAS	64	-34	-37	78	-42	-37	-35	-32	5	2024
KENTUCKY	148	54	51	189	75	76	66	67	5	2024
LOUISIANA	332	47	65	542	45	-23	9	-4	5	2024
MAINE	7	5	3	7	5	-2	-999	-999	5	2024
MARYLAND	97	36	90	114	50	84	-999	-999	5	2024
MASSACHUSETTS	17	8	13	17	8	6	-999	-999	5	2024
MICHIGAN	24	-17	11	24	-18	0	-999	-999	5	2024
MINNESOTA	15	-23	-34	15	-25	-43	-999	-999	5	2024
MISSISSIPPI	325	116	79	417	88	47	27	13	5	2024
MISSOURI	88	-7	-10	106	-7	-7	-6	-6	5	2024
MONTANA	0	-5	-9	0	-5	-9	-999	-999	5	2024
NEBRASKA	58	-13	-47	59	-19	-61	-999	-999	5	2024
NEVADA	92	-71	-13	108	-130	-24	-55	-18	5	2024
NEW HAMPSHIRE	21	13	18	21	13	12	-999	-999	5	2024
NEW JERSEY	63	30	56	67	34	42	-999	-999	5	2024
NEW MEXICO	42	-14	3	42	-22	0	-999	-999	5	2024
NEW YORK	1	-23	-6	1	-23	-23	-999	-999	5	2024
NORTH CAROLINA	187	76	83	222	81	91	57	69	5	2024
NORTH DAKOTA	5	-24	-56	5	-26	-63	-999	-999	5	2024
OHIO	35	-22	18	36	-24	12	-999	-999	5	2024
OKLAHOMA	171	23	21	222	22	43	11	24	5	2024
OREGON	9	4	-22	9	4	-23	-999	-999	5	2024
PENNSYLVANIA	59	21	55	65	26	55	-999	-999	5	2024
RHODE ISLAND	14	7	9	14	7	7	-999	-999	5	2024
SOUTH CAROLINA	252	81	105	322	79	88	33	38	5	2024
SOUTH DAKOTA	19	-26	-51	21	-27	-59	-999	-999	5	2024
TENNESSEE	171	60	39	211	69	57	49	37	5	2024
TEXAS	378	95	81	647	152	78	31	14	5	2024
UTAH	5	-20	-22	5	-24	-23	-999	-999	5	2024
VERMONT	12	0	10	12	0	5	-999	-999	5	2024
VIRGINIA	135	68	72	153	78	63	-999	-999	5	2024
WASHINGTON	3	-2	-33	3	-2	-33	-999	-999	5	2024
WEST VIRGINIA	112	58	65	125	66	71	-999	-999	5	2024
WISCONSIN	3	-28	-7	3	-29	-19	-999	-999	5	2024
WYOMING	0	-6	0	0	-6	0	-999	-999	5	2024
