STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	385	-133	75	2042	-273	231	-12	13	2	2024
ALASKA	1443	-2	68	8016	-74	582	-1	8	2	2024
ARIZONA	411	51	-115	1645	-70	-488	-4	-23	2	2024
ARKANSAS	433	-193	-93	2548	-309	13	-11	1	2	2024
CALIFORNIA	449	63	-82	1644	-199	-399	-11	-20	2	2024
COLORADO	937	-101	-187	4722	-600	-386	-11	-8	2	2024
CONNECTICUT	929	-100	47	4009	-450	249	-10	7	2	2024
DELAWARE	745	-117	79	3135	-453	97	-13	3	2	2024
DISTRCT COLUMBIA	769	4	239	3147	-18	402	-1	15	2	2024
FLORIDA	129	-29	83	479	-122	8	-20	2	2	2024
GEORGIA	431	-95	121	2148	-183	189	-8	10	2	2024
HAWAII	0	0	0	0	0	0	-999	-999	2	2024
IDAHO	930	-41	-212	4719	-387	-459	-8	-9	2	2024
ILLINOIS	773	-305	-172	3990	-840	-294	-17	-7	2	2024
INDIANA	763	-250	-57	3823	-670	-108	-15	-3	2	2024
IOWA	841	-338	-319	4528	-912	-674	-17	-13	2	2024
KANSAS	651	-226	-243	3663	-370	-346	-9	-9	2	2024
KENTUCKY	602	-206	-1	3091	-500	6	-14	0	2	2024
LOUISIANA	290	-56	24	1659	132	219	9	15	2	2024
MAINE	1112	-162	-145	4852	-912	6	-16	0	2	2024
MARYLAND	729	-137	75	3208	-491	72	-13	2	2	2024
MASSACHUSETTS	942	-123	-14	4038	-601	119	-13	3	2	2024
MICHIGAN	899	-262	-131	4299	-807	-157	-16	-4	2	2024
MINNESOTA	1030	-365	-408	5176	-1458	-958	-22	-16	2	2024
MISSISSIPPI	354	-120	24	1964	-164	222	-8	13	2	2024
MISSOURI	621	-281	-172	3482	-616	-267	-15	-7	2	2024
MONTANA	1045	-85	-162	5373	-679	-526	-11	-9	2	2024
NEBRASKA	767	-297	-335	4360	-666	-622	-13	-12	2	2024
NEVADA	645	74	-140	2812	-91	-498	-3	-15	2	2024
NEW HAMPSHIRE	1043	-181	-95	4542	-1008	-87	-18	-2	2	2024
NEW JERSEY	833	-117	45	3527	-527	92	-13	3	2	2024
NEW MEXICO	726	-8	-118	3491	-190	-360	-5	-9	2	2024
NEW YORK	964	-86	77	4039	-437	251	-10	7	2	2024
NORTH CAROLINA	544	-94	120	2587	-205	147	-7	6	2	2024
NORTH DAKOTA	1116	-339	-367	5912	-1217	-959	-17	-14	2	2024
OHIO	831	-189	28	3961	-514	109	-11	3	2	2024
OKLAHOMA	466	-205	-193	2743	-310	-156	-10	-5	2	2024
OREGON	697	29	-126	3378	-236	-277	-7	-8	2	2024
PENNSYLVANIA	843	-162	27	3877	-521	14	-12	0	2	2024
RHODE ISLAND	913	-76	21	3892	-311	185	-7	5	2	2024
SOUTH CAROLINA	445	-76	144	2069	-212	189	-9	10	2	2024
SOUTH DAKOTA	937	-282	-346	5023	-892	-783	-15	-13	2	2024
TENNESSEE	524	-180	12	2820	-348	81	-11	3	2	2024
TEXAS	257	-120	-101	1546	-157	37	-9	2	2	2024
UTAH	921	-60	-241	4432	-448	-573	-9	-11	2	2024
VERMONT	1105	-214	-120	5162	-766	-58	-13	-1	2	2024
VIRGINIA	669	-122	98	3041	-398	72	-12	2	2	2024
WASHINGTON	729	10	-110	3845	-98	-124	-2	-3	2	2024
WEST VIRGINIA	704	-191	22	3477	-522	-12	-13	0	2	2024
WISCONSIN	933	-323	-256	4723	-1063	-525	-18	-10	2	2024
WYOMING	1082	-74	-191	5532	-459	-334	-8	-6	2	2024
