STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	68	-12	62	1970	125	-8	7	0	10	2023
ALASKA	0	0	0	20	7	8	-999	-999	10	2023
ARIZONA	203	24	59	2636	-200	-111	-7	-4	10	2023
ARKANSAS	72	15	46	1989	232	16	13	1	10	2023
CALIFORNIA	66	12	-5	782	-115	-348	-13	-31	10	2023
COLORADO	0	0	0	417	144	-171	53	-29	10	2023
CONNECTICUT	0	-2	0	636	69	-159	12	-20	10	2023
DELAWARE	28	9	28	1192	135	-102	13	-8	10	2023
DISTRCT COLUMBIA	0	-28	-4	1489	-38	-259	-2	-15	10	2023
FLORIDA	283	-26	14	3317	169	37	5	1	10	2023
GEORGIA	53	-12	49	1709	26	-79	2	-4	10	2023
HAWAII	446	1	-36	4095	441	37	12	1	10	2023
IDAHO	0	-1	-3	533	77	-127	17	-19	10	2023
ILLINOIS	32	19	29	927	52	-132	6	-12	10	2023
INDIANA	23	9	23	754	-140	-202	-16	-21	10	2023
IOWA	30	20	30	961	123	-9	15	-1	10	2023
KANSAS	34	5	26	1488	48	-124	3	-8	10	2023
KENTUCKY	27	1	27	1132	-40	-192	-3	-15	10	2023
LOUISIANA	156	4	41	2749	235	224	9	9	10	2023
MAINE	0	0	0	334	106	-7	46	-2	10	2023
MARYLAND	24	8	24	1069	45	-171	4	-14	10	2023
MASSACHUSETTS	5	4	5	590	138	-103	31	-15	10	2023
MICHIGAN	13	8	13	434	-134	-155	-24	-26	10	2023
MINNESOTA	26	24	26	668	185	101	38	18	10	2023
MISSISSIPPI	113	19	78	2409	353	156	17	7	10	2023
MISSOURI	39	14	31	1307	58	-114	5	-8	10	2023
MONTANA	0	0	0	306	58	-99	23	-24	10	2023
NEBRASKA	30	20	27	1117	109	-85	11	-7	10	2023
NEVADA	58	-24	-27	1481	-435	-354	-23	-19	10	2023
NEW HAMPSHIRE	2	2	2	427	123	-69	40	-14	10	2023
NEW JERSEY	16	8	16	846	80	-175	10	-17	10	2023
NEW MEXICO	11	2	8	939	46	53	5	6	10	2023
NEW YORK	0	-6	0	661	40	-155	6	-19	10	2023
NORTH CAROLINA	29	-11	29	1427	46	-171	3	-11	10	2023
NORTH DAKOTA	0	0	0	565	113	34	25	6	10	2023
OHIO	5	-5	5	599	-139	-253	-19	-30	10	2023
OKLAHOMA	83	23	43	2006	134	-177	7	-8	10	2023
OREGON	1	0	-3	430	193	-35	81	-8	10	2023
PENNSYLVANIA	9	2	9	653	-8	-148	-1	-18	10	2023
RHODE ISLAND	7	5	7	621	144	-83	30	-12	10	2023
SOUTH CAROLINA	53	-16	41	1829	46	-171	3	-9	10	2023
SOUTH DAKOTA	19	16	10	848	117	-32	16	-4	10	2023
TENNESSEE	34	-4	34	1329	-17	-181	-1	-12	10	2023
TEXAS	204	44	46	3197	604	63	23	2	10	2023
UTAH	0	-6	0	676	5	-139	1	-17	10	2023
VERMONT	2	2	2	243	-33	-44	-12	-15	10	2023
VIRGINIA	25	4	25	1155	107	-122	10	-10	10	2023
WASHINGTON	0	0	0	349	151	-32	76	-8	10	2023
WEST VIRGINIA	9	-4	9	796	25	-172	3	-18	10	2023
WISCONSIN	20	16	20	519	17	-4	3	-1	10	2023
WYOMING	0	0	0	247	-49	-175	-17	-41	10	2023
