STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	0	0	0	0	0	0	-999	-999	7	2024
ALASKA	215	-14	26	215	-14	26	-6	14	7	2024
ARIZONA	0	0	0	0	0	0	-999	-999	7	2024
ARKANSAS	0	0	0	0	0	0	-999	-999	7	2024
CALIFORNIA	0	-10	0	0	-10	0	-999	-999	7	2024
COLORADO	4	-29	-3	4	-29	-3	-999	-999	7	2024
CONNECTICUT	2	-2	0	2	-2	0	-999	-999	7	2024
DELAWARE	0	0	0	0	0	0	-999	-999	7	2024
DISTRCT COLUMBIA	0	0	0	0	0	0	-999	-999	7	2024
FLORIDA	0	0	0	0	0	0	-999	-999	7	2024
GEORGIA	0	0	0	0	0	0	-999	-999	7	2024
HAWAII	0	0	0	0	0	0	-999	-999	7	2024
IDAHO	6	-33	6	6	-33	6	-999	-999	7	2024
ILLINOIS	8	3	6	8	3	6	-999	-999	7	2024
INDIANA	13	8	10	13	8	10	-999	-999	7	2024
IOWA	16	5	-7	16	5	-7	-999	-999	7	2024
KANSAS	0	-2	0	0	-2	0	-999	-999	7	2024
KENTUCKY	0	-1	0	0	-1	0	-999	-999	7	2024
LOUISIANA	0	0	0	0	0	0	-999	-999	7	2024
MAINE	0	-35	0	0	-35	0	-999	-999	7	2024
MARYLAND	0	-1	0	0	-1	0	-999	-999	7	2024
MASSACHUSETTS	0	-7	0	0	-7	0	-999	-999	7	2024
MICHIGAN	5	-9	5	5	-9	5	-999	-999	7	2024
MINNESOTA	6	-26	-15	6	-26	-15	-999	-999	7	2024
MISSISSIPPI	0	0	0	0	0	0	-999	-999	7	2024
MISSOURI	3	1	3	3	1	3	-999	-999	7	2024
MONTANA	34	-55	7	34	-55	7	-999	-999	7	2024
NEBRASKA	14	3	-2	14	3	-2	-999	-999	7	2024
NEVADA	0	-5	0	0	-5	0	-999	-999	7	2024
NEW HAMPSHIRE	0	-18	-1	0	-18	-1	-999	-999	7	2024
NEW JERSEY	0	-1	0	0	-1	0	-999	-999	7	2024
NEW MEXICO	0	-5	0	0	-5	0	-999	-999	7	2024
NEW YORK	0	-8	0	0	-8	0	-999	-999	7	2024
NORTH CAROLINA	0	0	0	0	0	0	-999	-999	7	2024
NORTH DAKOTA	36	-14	-51	36	-14	-51	-999	-999	7	2024
OHIO	6	0	4	6	0	4	-999	-999	7	2024
OKLAHOMA	0	0	0	0	0	0	-999	-999	7	2024
OREGON	11	-52	5	11	-52	5	-999	-999	7	2024
PENNSYLVANIA	7	-1	4	7	-1	4	-999	-999	7	2024
RHODE ISLAND	9	4	4	9	4	4	-999	-999	7	2024
SOUTH CAROLINA	0	0	0	0	0	0	-999	-999	7	2024
SOUTH DAKOTA	23	-13	-17	23	-13	-17	-999	-999	7	2024
TENNESSEE	0	0	0	0	0	0	-999	-999	7	2024
TEXAS	0	0	0	0	0	0	-999	-999	7	2024
UTAH	0	-13	0	0	-13	0	-999	-999	7	2024
VERMONT	36	5	-5	36	5	-5	-999	-999	7	2024
VIRGINIA	0	-1	0	0	-1	0	-999	-999	7	2024
WASHINGTON	24	-53	10	24	-53	10	-999	-999	7	2024
WEST VIRGINIA	0	-5	0	0	-5	0	-999	-999	7	2024
WISCONSIN	32	9	0	32	9	0	-999	-999	7	2024
WYOMING	21	-38	-16	21	-38	-16	-999	-999	7	2024
