STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	99	19	31	2110	264	140	14	7	10	2024
ALASKA	0	0	0	0	-13	-20	-999	-999	10	2024
ARIZONA	288	109	85	2950	113	313	4	12	10	2024
ARKANSAS	101	44	29	1965	208	-24	12	-1	10	2024
CALIFORNIA	101	47	35	1061	164	279	18	36	10	2024
COLORADO	0	0	0	529	256	112	94	27	10	2024
CONNECTICUT	0	-2	0	647	80	11	14	2	10	2024
DELAWARE	12	-7	-16	1351	294	159	28	13	10	2024
DISTRCT COLUMBIA	0	-28	0	1404	-123	-85	-8	-6	10	2024
FLORIDA	309	0	26	3158	6	-164	0	-5	10	2024
GEORGIA	79	14	26	1956	272	247	16	14	10	2024
HAWAII	446	1	0	3729	67	-379	2	-9	10	2024
IDAHO	0	-1	0	581	125	48	27	9	10	2024
ILLINOIS	11	-2	-21	1019	144	92	16	10	10	2024
INDIANA	12	-2	-11	941	47	187	5	25	10	2024
IOWA	6	-4	-24	909	71	-52	8	-5	10	2024
KANSAS	40	11	6	1441	1	-47	0	-3	10	2024
KENTUCKY	22	-4	-5	1383	211	251	18	22	10	2024
LOUISIANA	185	33	29	2536	21	-213	1	-8	10	2024
MAINE	0	0	0	378	150	44	66	13	10	2024
MARYLAND	9	-7	-15	1274	250	205	24	19	10	2024
MASSACHUSETTS	0	-1	-5	601	149	11	33	2	10	2024
MICHIGAN	2	-3	-11	550	-18	116	-3	27	10	2024
MINNESOTA	0	-2	-26	564	81	-104	17	-16	10	2024
MISSISSIPPI	131	37	18	2380	323	-29	16	-1	10	2024
MISSOURI	32	7	-7	1300	51	-7	4	-1	10	2024
MONTANA	0	0	0	349	101	43	41	14	10	2024
NEBRASKA	1	-9	-29	1007	-1	-110	0	-10	10	2024
NEVADA	115	33	57	1912	-4	431	0	29	10	2024
NEW HAMPSHIRE	0	0	-2	484	180	57	59	13	10	2024
NEW JERSEY	0	-8	-16	989	223	143	29	17	10	2024
NEW MEXICO	34	25	23	921	28	-18	3	-2	10	2024
NEW YORK	0	-6	0	630	9	-31	1	-5	10	2024
NORTH CAROLINA	45	5	16	1658	277	231	20	16	10	2024
NORTH DAKOTA	0	0	0	485	33	-80	7	-14	10	2024
OHIO	1	-9	-4	774	36	175	5	29	10	2024
OKLAHOMA	145	85	62	2142	270	136	14	7	10	2024
OREGON	0	-1	-1	422	185	-8	78	-2	10	2024
PENNSYLVANIA	0	-7	-9	842	181	189	27	29	10	2024
RHODE ISLAND	0	-2	-7	626	149	5	31	1	10	2024
SOUTH CAROLINA	73	4	20	2057	273	228	15	12	10	2024
SOUTH DAKOTA	10	7	-9	773	42	-75	6	-9	10	2024
TENNESSEE	35	-3	1	1550	204	221	15	17	10	2024
TEXAS	274	114	70	3025	431	-172	17	-5	10	2024
UTAH	29	23	29	822	151	146	23	22	10	2024
VERMONT	0	0	-2	304	28	61	10	25	10	2024
VIRGINIA	17	-4	-8	1357	309	202	29	17	10	2024
WASHINGTON	0	0	0	294	96	-55	48	-16	10	2024
WEST VIRGINIA	3	-10	-6	1090	319	294	41	37	10	2024
WISCONSIN	2	-2	-18	497	-5	-22	-1	-4	10	2024
WYOMING	0	0	0	294	-2	47	-1	19	10	2024
