STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	9	-31	-33	2431	-421	154	-15	7	5	2024
ALASKA	588	-3	20	10820	-91	458	-1	4	5	2024
ARIZONA	5	-35	-9	2159	-8	-527	0	-20	5	2024
ARKANSAS	14	-35	-27	3035	-485	-144	-14	-5	5	2024
CALIFORNIA	130	-16	-44	2473	-123	-562	-5	-19	5	2024
COLORADO	399	0	97	6576	-720	-529	-10	-7	5	2024
CONNECTICUT	191	-41	-59	5415	-644	205	-11	4	5	2024
DELAWARE	78	-49	-55	4025	-731	-11	-15	0	5	2024
DISTRCT COLUMBIA	29	-44	-31	3977	-96	534	-2	16	5	2024
FLORIDA	0	-1	0	546	-152	27	-22	5	5	2024
GEORGIA	18	-28	-45	2576	-318	78	-11	3	5	2024
HAWAII	0	0	0	0	0	0	-999	-999	5	2024
IDAHO	460	125	216	6678	-116	-516	-2	-7	5	2024
ILLINOIS	92	-123	-57	5109	-1240	-570	-20	-10	5	2024
INDIANA	87	-108	-84	4859	-1035	-417	-18	-8	5	2024
IOWA	151	-66	5	5893	-1162	-926	-16	-14	5	2024
KANSAS	92	-32	-2	4606	-522	-566	-10	-11	5	2024
KENTUCKY	19	-110	-60	3804	-823	-209	-18	-5	5	2024
LOUISIANA	1	-3	-9	1924	131	201	7	12	5	2024
MAINE	278	-108	-75	6725	-1202	-86	-15	-1	5	2024
MARYLAND	72	-59	-58	4095	-768	-48	-16	-1	5	2024
MASSACHUSETTS	208	-68	-46	5553	-826	78	-13	1	5	2024
MICHIGAN	144	-135	-122	5734	-1184	-472	-17	-8	5	2024
MINNESOTA	244	-59	53	7041	-1666	-1317	-19	-16	5	2024
MISSISSIPPI	3	-19	-22	2301	-274	158	-11	7	5	2024
MISSOURI	68	-67	-29	4325	-902	-528	-17	-11	5	2024
MONTANA	528	98	233	7587	-551	-611	-7	-7	5	2024
NEBRASKA	167	-38	35	5687	-830	-851	-13	-13	5	2024
NEVADA	106	-28	10	3780	-3	-688	0	-15	5	2024
NEW HAMPSHIRE	226	-94	-85	6278	-1263	-176	-17	-3	5	2024
NEW JERSEY	116	-67	-69	4643	-807	-23	-15	0	5	2024
NEW MEXICO	139	-26	8	4691	-135	-418	-3	-8	5	2024
NEW YORK	143	-90	-64	5452	-652	256	-11	5	5	2024
NORTH CAROLINA	38	-32	-76	3165	-371	-17	-10	-1	5	2024
NORTH DAKOTA	340	1	125	8094	-1272	-1435	-14	-15	5	2024
OHIO	114	-104	-106	5132	-831	-123	-14	-2	5	2024
OKLAHOMA	33	-17	-24	3300	-466	-409	-12	-11	5	2024
OREGON	406	87	136	5018	9	-369	0	-7	5	2024
PENNSYLVANIA	137	-77	-111	5064	-835	-216	-14	-4	5	2024
RHODE ISLAND	229	-41	-45	5352	-510	135	-9	3	5	2024
SOUTH CAROLINA	13	-21	-58	2464	-344	70	-12	3	5	2024
SOUTH DAKOTA	265	-26	92	6785	-1007	-1105	-13	-14	5	2024
TENNESSEE	41	-51	-59	3457	-556	-106	-14	-3	5	2024
TEXAS	0	-10	-3	1757	-250	-22	-12	-1	5	2024
UTAH	427	115	194	6267	-270	-716	-4	-10	5	2024
VERMONT	247	-90	-148	7018	-1037	-255	-13	-4	5	2024
VIRGINIA	48	-75	-71	3797	-692	-88	-15	-2	5	2024
WASHINGTON	393	82	183	5460	90	-80	2	-1	5	2024
WEST VIRGINIA	59	-129	-111	4369	-918	-282	-17	-6	5	2024
WISCONSIN	206	-104	-55	6326	-1415	-816	-18	-11	5	2024
WYOMING	513	65	147	7743	-407	-532	-5	-6	5	2024
