STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	253	-93	-31	2295	-366	199	-14	9	3	2024
ALASKA	1302	-5	-3	9318	-79	551	-1	6	3	2024
ARIZONA	364	89	-55	2009	19	-554	1	-22	3	2024
ARKANSAS	334	-98	-80	2882	-407	-72	-12	-2	3	2024
CALIFORNIA	425	67	-117	2069	-132	-531	-6	-20	3	2024
COLORADO	875	-35	-147	5597	-635	-556	-10	-9	3	2024
CONNECTICUT	738	-108	-35	4747	-558	198	-11	4	3	2024
DELAWARE	526	-144	-105	3661	-597	-15	-14	0	3	2024
DISTRCT COLUMBIA	566	3	75	3713	-15	476	0	15	3	2024
FLORIDA	44	-34	3	523	-156	11	-23	2	3	2024
GEORGIA	272	-86	-43	2420	-269	143	-10	6	3	2024
HAWAII	0	0	0	0	0	0	-999	-999	3	2024
IDAHO	883	83	-177	5602	-304	-664	-5	-11	3	2024
ILLINOIS	642	-188	-175	4632	-1028	-493	-18	-10	3	2024
INDIANA	597	-174	-172	4420	-844	-296	-16	-6	3	2024
IOWA	772	-128	-199	5300	-1040	-898	-16	-14	3	2024
KANSAS	585	-56	-148	4248	-426	-511	-9	-11	3	2024
KENTUCKY	468	-128	-111	3559	-628	-111	-15	-3	3	2024
LOUISIANA	195	-7	16	1854	125	235	7	15	3	2024
MAINE	931	-140	-53	5783	-1052	-77	-15	-1	3	2024
MARYLAND	538	-131	-101	3746	-622	-36	-14	-1	3	2024
MASSACHUSETTS	760	-131	-82	4798	-732	16	-13	0	3	2024
MICHIGAN	812	-139	-138	5111	-946	-318	-16	-6	3	2024
MINNESOTA	1025	-96	-262	6201	-1554	-1254	-20	-17	3	2024
MISSISSIPPI	241	-65	-9	2205	-229	213	-9	11	3	2024
MISSOURI	511	-150	-180	3993	-766	-463	-16	-10	3	2024
MONTANA	1012	39	-207	6385	-640	-760	-9	-11	3	2024
NEBRASKA	751	-76	-200	5111	-742	-845	-13	-14	3	2024
NEVADA	559	100	-176	3371	9	-694	0	-17	3	2024
NEW HAMPSHIRE	888	-130	-67	5430	-1138	-180	-17	-3	3	2024
NEW JERSEY	615	-148	-114	4142	-675	-34	-14	-1	3	2024
NEW MEXICO	655	55	-51	4146	-135	-430	-3	-9	3	2024
NEW YORK	794	-73	-15	4833	-510	224	-10	5	3	2024
NORTH CAROLINA	357	-105	-73	2944	-310	69	-10	2	3	2024
NORTH DAKOTA	1199	3	-337	7111	-1214	-1336	-15	-16	3	2024
OHIO	688	-112	-89	4649	-626	7	-12	0	3	2024
OKLAHOMA	366	-97	-133	3109	-407	-300	-12	-9	3	2024
OREGON	678	73	-165	4056	-163	-466	-4	-10	3	2024
PENNSYLVANIA	659	-150	-135	4536	-671	-133	-13	-3	3	2024
RHODE ISLAND	714	-126	-77	4606	-437	89	-9	2	3	2024
SOUTH CAROLINA	256	-98	-48	2325	-310	137	-12	6	3	2024
SOUTH DAKOTA	943	-49	-294	5966	-941	-1111	-14	-16	3	2024
TENNESSEE	392	-113	-88	3212	-461	-11	-13	0	3	2024
TEXAS	158	-63	-14	1704	-220	22	-11	1	3	2024
UTAH	850	56	-207	5282	-392	-805	-7	-13	3	2024
VERMONT	948	-149	-114	6110	-915	-191	-13	-3	3	2024
VIRGINIA	482	-126	-91	3523	-524	-26	-13	-1	3	2024
WASHINGTON	677	37	-93	4522	-61	-239	-1	-5	3	2024
WEST VIRGINIA	565	-133	-117	4042	-655	-137	-14	-3	3	2024
WISCONSIN	863	-157	-180	5586	-1220	-734	-18	-12	3	2024
WYOMING	997	3	-223	6529	-456	-585	-7	-8	3	2024
