STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	1	-1	1	2432	-422	155	-15	7	6	2024
ALASKA	318	-10	-1	11138	-101	89	-1	1	6	2024
ARIZONA	0	-4	0	2159	-12	-527	-1	-20	6	2024
ARKANSAS	0	-4	0	3035	-489	-144	-14	-5	6	2024
CALIFORNIA	3	-48	-57	2476	-171	-613	-6	-20	6	2024
COLORADO	22	-123	-120	6598	-843	-644	-11	-9	6	2024
CONNECTICUT	44	2	-46	5459	-642	161	-11	3	6	2024
DELAWARE	0	-10	-10	4025	-741	-21	-16	-1	6	2024
DISTRCT COLUMBIA	0	-5	0	3977	-101	534	-2	16	6	2024
FLORIDA	0	0	0	546	-152	27	-22	5	6	2024
GEORGIA	1	-3	-1	2577	-321	77	-11	3	6	2024
HAWAII	0	0	0	0	0	-780	-999	-999	6	2024
IDAHO	107	-37	-35	6785	-153	-545	-2	-7	6	2024
ILLINOIS	22	-16	-14	5131	-1256	-584	-20	-10	6	2024
INDIANA	26	-5	-28	4885	-1040	-445	-18	-8	6	2024
IOWA	27	-13	-2	5920	-1175	-928	-17	-14	6	2024
KANSAS	2	-15	-5	4608	-537	-571	-10	-11	6	2024
KENTUCKY	3	-10	-1	3807	-833	-210	-18	-5	6	2024
LOUISIANA	0	0	0	1924	131	201	7	12	6	2024
MAINE	61	-64	-89	6786	-1266	-175	-16	-3	6	2024
MARYLAND	0	-12	-6	4095	-780	-54	-16	-1	6	2024
MASSACHUSETTS	18	-44	-69	5571	-870	9	-14	0	6	2024
MICHIGAN	34	-33	-19	5768	-1217	-491	-17	-8	6	2024
MINNESOTA	36	-56	17	7077	-1722	-1300	-20	-16	6	2024
MISSISSIPPI	0	-1	0	2301	-275	158	-11	7	6	2024
MISSOURI	5	-13	-7	4330	-915	-535	-17	-11	6	2024
MONTANA	204	-3	19	7791	-554	-586	-7	-7	6	2024
NEBRASKA	18	-21	0	5705	-851	-852	-13	-13	6	2024
NEVADA	0	-37	0	3780	-40	-688	-1	-15	6	2024
NEW HAMPSHIRE	35	-50	-76	6313	-1313	-252	-17	-4	6	2024
NEW JERSEY	2	-22	-25	4645	-829	-48	-15	-1	6	2024
NEW MEXICO	0	-32	-16	4691	-167	-432	-3	-8	6	2024
NEW YORK	2	-43	-30	5454	-695	226	-11	4	6	2024
NORTH CAROLINA	5	-3	-17	3170	-374	-33	-11	-1	6	2024
NORTH DAKOTA	137	10	82	8231	-1262	-1353	-13	-14	6	2024
OHIO	33	-7	-40	5165	-838	-163	-14	-3	6	2024
OKLAHOMA	0	-3	-2	3300	-469	-411	-12	-11	6	2024
OREGON	165	3	4	5183	12	-353	0	-6	6	2024
PENNSYLVANIA	37	-4	-51	5101	-839	-265	-14	-5	6	2024
RHODE ISLAND	54	-4	-63	5406	-514	75	-9	1	6	2024
SOUTH CAROLINA	3	1	-1	2467	-343	69	-12	3	6	2024
SOUTH DAKOTA	69	-25	31	6854	-1032	-1074	-13	-14	6	2024
TENNESSEE	9	1	-5	3466	-555	-111	-14	-3	6	2024
TEXAS	0	0	0	1757	-250	-22	-12	-1	6	2024
UTAH	37	-69	-62	6304	-339	-773	-5	-11	6	2024
VERMONT	112	15	-60	7130	-1022	-315	-13	-4	6	2024
VIRGINIA	1	-13	-7	3798	-705	-95	-16	-2	6	2024
WASHINGTON	199	33	43	5659	123	-28	2	0	6	2024
WEST VIRGINIA	12	-24	-22	4381	-942	-304	-18	-6	6	2024
WISCONSIN	69	-20	-16	6395	-1435	-832	-18	-12	6	2024
WYOMING	126	-64	-82	7869	-471	-607	-6	-7	6	2024
