STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	140	-11	-17	2235	-562	-126	-20	-5	4	2023
ALASKA	1043	121	167	9753	-519	187	-5	2	4	2023
ARIZONA	120	-17	83	2672	556	949	26	55	4	2023
ARKANSAS	189	7	-15	3138	-315	99	-9	3	4	2023
CALIFORNIA	270	21	43	2866	429	679	18	31	4	2023
COLORADO	666	1	45	6828	-36	773	-1	13	4	2023
CONNECTICUT	425	-97	-65	4903	-892	-320	-15	-6	4	2023
DELAWARE	234	-137	-139	3903	-700	-216	-15	-5	4	2023
DISTRCT COLUMBIA	147	-125	-120	3156	-821	-232	-21	-7	4	2023
FLORIDA	7	-11	-6	419	-274	-25	-40	-6	4	2023
GEORGIA	161	2	-16	2435	-398	38	-14	2	4	2023
HAWAII	0	0	0	0	0	-1	-999	-999	4	2023
IDAHO	706	153	-42	6978	549	511	9	8	4	2023
ILLINOIS	429	-45	-84	5530	-571	-73	-9	-1	4	2023
INDIANA	405	-30	-70	5105	-563	-84	-10	-2	4	2023
IOWA	500	2	-137	6673	-129	111	-2	2	4	2023
KANSAS	336	6	-19	5078	100	529	2	12	4	2023
KENTUCKY	270	-41	-66	3934	-540	-40	-12	-1	4	2023
LOUISIANA	94	34	32	1713	-67	140	-4	9	4	2023
MAINE	628	-78	-37	6458	-1043	-541	-14	-8	4	2023
MARYLAND	238	-126	-127	4013	-693	-140	-15	-3	4	2023
MASSACHUSETTS	460	-113	-55	5221	-848	-241	-14	-4	4	2023
MICHIGAN	534	-48	-114	5940	-663	-220	-10	-4	4	2023
MINNESOTA	746	97	-91	8167	-194	-73	-2	-1	4	2023
MISSISSIPPI	126	7	10	2118	-422	-37	-17	-2	4	2023
MISSOURI	316	-17	-79	4756	-309	130	-6	3	4	2023
MONTANA	783	100	-102	7897	224	561	3	8	4	2023
NEBRASKA	473	14	-50	6406	126	812	2	15	4	2023
NEVADA	327	40	57	4382	750	904	21	26	4	2023
NEW HAMPSHIRE	559	-94	-57	6143	-1040	-382	-14	-6	4	2023
NEW JERSEY	317	-133	-115	4486	-751	-206	-14	-4	4	2023
NEW MEXICO	419	39	115	4962	323	588	7	13	4	2023
NEW YORK	392	-136	-113	4863	-975	-265	-17	-5	4	2023
NORTH CAROLINA	197	-15	-24	3067	-380	47	-11	2	4	2023
NORTH DAKOTA	910	208	-28	9314	332	662	4	8	4	2023
OHIO	406	-64	-87	5006	-708	-98	-12	-2	4	2023
OKLAHOMA	254	54	51	3652	-45	325	-1	10	4	2023
OREGON	609	138	-46	5116	447	286	10	6	4	2023
PENNSYLVANIA	373	-105	-112	5030	-624	-161	-11	-3	4	2023
RHODE ISLAND	443	-106	-51	4940	-621	-283	-11	-5	4	2023
SOUTH CAROLINA	139	0	-10	2323	-436	-28	-16	-1	4	2023
SOUTH DAKOTA	674	80	-46	7717	254	871	3	13	4	2023
TENNESSEE	244	-4	-35	3463	-437	-80	-11	-2	4	2023
TEXAS	95	22	52	1773	-214	137	-11	8	4	2023
UTAH	683	132	48	6745	550	685	9	11	4	2023
VERMONT	599	-94	-68	6877	-799	-319	-10	-4	4	2023
VIRGINIA	224	-95	-85	3766	-576	8	-13	0	4	2023
WASHINGTON	583	107	-30	5347	311	202	6	4	4	2023
WEST VIRGINIA	310	-92	-105	4481	-591	-85	-12	-2	4	2023
WISCONSIN	590	-35	-112	6881	-511	-173	-7	-2	4	2023
WYOMING	815	98	-5	7884	218	941	3	14	4	2023
