STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	334	-10	-97	609	-4	-143	-1	-19	6	2023
ALASKA	3	0	-3	4	1	-2	-999	-999	6	2023
ARIZONA	350	-163	-185	651	-298	-336	-31	-34	6	2023
ARKANSAS	377	39	-17	592	48	-43	9	-7	6	2023
CALIFORNIA	25	-106	-146	43	-180	-158	-81	-79	6	2023
COLORADO	49	-7	-63	52	-8	-73	-999	-999	6	2023
CONNECTICUT	71	-23	-15	79	-33	-47	-29	-37	6	2023
DELAWARE	170	-35	-49	250	-14	-93	-5	-27	6	2023
DISTRCT COLUMBIA	273	-31	-59	401	-35	-102	-8	-20	6	2023
FLORIDA	445	-16	-13	1499	161	-25	12	-2	6	2023
GEORGIA	273	-47	-130	485	-68	-184	-12	-28	6	2023
HAWAII	450	39	19	2173	380	77	21	4	6	2023
IDAHO	47	-22	-1	72	-12	21	-999	-999	6	2023
ILLINOIS	186	3	-51	240	-17	-125	-7	-34	6	2023
INDIANA	135	-54	-69	171	-99	-136	-37	-44	6	2023
IOWA	207	25	-23	297	42	-44	16	-13	6	2023
KANSAS	275	-8	-55	382	-21	-109	-5	-22	6	2023
KENTUCKY	182	-48	-94	287	-57	-164	-17	-36	6	2023
LOUISIANA	449	4	-33	1004	63	-99	7	-9	6	2023
MAINE	24	-3	10	28	-1	6	-999	-999	6	2023
MARYLAND	140	-59	-80	167	-96	-154	-37	-48	6	2023
MASSACHUSETTS	76	4	14	83	2	-29	-999	-999	6	2023
MICHIGAN	78	-36	-36	94	-62	-73	-40	-44	6	2023
MINNESOTA	165	62	24	214	71	40	50	23	6	2023
MISSISSIPPI	417	32	-58	777	64	-117	9	-13	6	2023
MISSOURI	267	20	-43	370	10	-81	3	-18	6	2023
MONTANA	29	-9	0	38	-5	9	-999	-999	6	2023
NEBRASKA	228	14	-42	341	49	-36	17	-10	6	2023
NEVADA	167	-179	-149	296	-288	-142	-49	-32	6	2023
NEW HAMPSHIRE	53	5	11	56	0	-24	-999	-999	6	2023
NEW JERSEY	94	-47	-38	116	-58	-82	-33	-41	6	2023
NEW MEXICO	156	-44	-37	196	-68	-95	-26	-33	6	2023
NEW YORK	90	-17	-2	108	-23	-24	-18	-18	6	2023
NORTH CAROLINA	215	-56	-117	341	-71	-216	-17	-39	6	2023
NORTH DAKOTA	169	76	53	230	106	105	85	84	6	2023
OHIO	86	-63	-85	104	-105	-149	-50	-59	6	2023
OKLAHOMA	358	7	-52	527	-24	-134	-4	-20	6	2023
OREGON	44	20	5	76	47	36	-999	-999	6	2023
PENNSYLVANIA	70	-55	-51	77	-87	-101	-53	-57	6	2023
RHODE ISLAND	61	-5	-3	68	-5	-33	-999	-999	6	2023
SOUTH CAROLINA	289	-53	-132	516	-68	-235	-12	-31	6	2023
SOUTH DAKOTA	189	43	13	262	68	53	35	25	6	2023
TENNESSEE	227	-37	-92	373	-33	-143	-8	-28	6	2023
TEXAS	537	83	-33	1094	146	-193	15	-15	6	2023
UTAH	54	-61	-64	81	-63	-51	-44	-39	6	2023
VERMONT	31	-11	9	33	-21	-27	-999	-999	6	2023
VIRGINIA	159	-46	-88	245	-35	-151	-12	-38	6	2023
WASHINGTON	40	17	11	76	48	47	-999	-999	6	2023
WEST VIRGINIA	114	-35	-83	163	-45	-149	-22	-48	6	2023
WISCONSIN	105	4	-3	119	-14	-45	-11	-27	6	2023
WYOMING	13	-41	-41	13	-47	-42	-999	-999	6	2023
