STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	61	15	29	65	-27	-17	-999	-999	4	2024
ALASKA	0	0	0	0	0	0	-999	-999	4	2024
ARIZONA	67	-43	-18	68	-95	-24	-58	-26	4	2024
ARKANSAS	51	17	32	52	-2	31	-999	-999	4	2024
CALIFORNIA	0	-22	-1	0	-34	-1	-999	-999	4	2024
COLORADO	0	0	0	0	0	0	-999	-999	4	2024
CONNECTICUT	0	0	-3	0	0	-3	-999	-999	4	2024
DELAWARE	19	17	-2	19	17	-2	-999	-999	4	2024
DISTRCT COLUMBIA	11	-10	-51	11	-14	-53	-999	-999	4	2024
FLORIDA	193	-4	-81	449	-80	-277	-15	-38	4	2024
GEORGIA	49	12	22	50	-25	-5	-999	-999	4	2024
HAWAII	309	9	-62	1069	36	-269	4	-20	4	2024
IDAHO	0	-1	-1	0	-1	-2	-999	-999	4	2024
ILLINOIS	2	-1	-4	2	-2	-4	-999	-999	4	2024
INDIANA	12	8	10	12	6	10	-999	-999	4	2024
IOWA	0	-4	-6	0	-5	-6	-999	-999	4	2024
KANSAS	14	0	8	14	-8	8	-999	-999	4	2024
KENTUCKY	41	30	33	41	21	33	-999	-999	4	2024
LOUISIANA	142	34	31	210	-2	-82	-1	-28	4	2024
MAINE	0	0	0	0	0	0	-999	-999	4	2024
MARYLAND	17	14	-3	17	14	-3	-999	-999	4	2024
MASSACHUSETTS	0	0	-3	0	0	-3	-999	-999	4	2024
MICHIGAN	0	-1	-3	0	-1	-3	-999	-999	4	2024
MINNESOTA	0	-2	0	0	-2	0	-999	-999	4	2024
MISSISSIPPI	86	23	46	92	-28	-23	-23	-20	4	2024
MISSOURI	18	6	13	18	0	13	-999	-999	4	2024
MONTANA	0	0	0	0	0	0	-999	-999	4	2024
NEBRASKA	1	-4	-7	1	-6	-7	-999	-999	4	2024
NEVADA	16	-39	-8	16	-59	-11	-999	-999	4	2024
NEW HAMPSHIRE	0	0	0	0	0	0	-999	-999	4	2024
NEW JERSEY	4	4	-11	4	4	-11	-999	-999	4	2024
NEW MEXICO	0	-8	-1	0	-8	-2	-999	-999	4	2024
NEW YORK	0	0	-11	0	0	-11	-999	-999	4	2024
NORTH CAROLINA	34	18	15	35	5	13	-999	-999	4	2024
NORTH DAKOTA	0	-2	0	0	-2	0	-999	-999	4	2024
OHIO	1	-1	0	1	-2	0	-999	-999	4	2024
OKLAHOMA	49	14	31	51	-1	32	-999	-999	4	2024
OREGON	0	0	-1	0	0	-1	-999	-999	4	2024
PENNSYLVANIA	6	5	3	6	5	3	-999	-999	4	2024
RHODE ISLAND	0	0	-2	0	0	-2	-999	-999	4	2024
SOUTH CAROLINA	65	28	15	70	-2	-10	-999	-999	4	2024
SOUTH DAKOTA	2	-1	-1	2	-1	-1	-999	-999	4	2024
TENNESSEE	40	23	29	40	9	26	-999	-999	4	2024
TEXAS	176	59	55	269	57	5	27	2	4	2024
UTAH	0	-4	0	0	-4	-2	-999	-999	4	2024
VERMONT	0	0	0	0	0	0	-999	-999	4	2024
VIRGINIA	18	12	-5	18	10	-5	-999	-999	4	2024
WASHINGTON	0	0	0	0	0	0	-999	-999	4	2024
WEST VIRGINIA	13	10	11	13	8	11	-999	-999	4	2024
WISCONSIN	0	-1	-4	0	-1	-4	-999	-999	4	2024
WYOMING	0	0	0	0	0	0	-999	-999	4	2024
