STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	700	20	251	1657	-140	147	-8	10	1	2024
ALASKA	1637	-7	244	6573	-72	483	-1	8	1	2024
ARIZONA	565	73	-44	1234	-121	-393	-9	-24	1	2024
ARKANSAS	925	89	290	2115	-116	68	-5	3	1	2024
CALIFORNIA	468	-16	-84	1195	-262	-337	-18	-22	1	2024
COLORADO	1217	-22	-39	3785	-499	-253	-12	-6	1	2024
CONNECTICUT	1057	-120	223	3080	-350	172	-10	6	1	2024
DELAWARE	890	-106	179	2390	-336	-7	-12	0	1	2024
DISTRCT COLUMBIA	924	7	311	2378	-22	140	-1	6	1	2024
FLORIDA	166	-47	30	350	-93	-75	-21	-18	1	2024
GEORGIA	695	15	194	1717	-88	60	-5	4	1	2024
HAWAII	0	0	0	0	0	0	-999	-999	1	2024
IDAHO	1171	-41	-27	3789	-346	-304	-8	-7	1	2024
ILLINOIS	1230	-95	196	3217	-535	-179	-14	-5	1	2024
INDIANA	1158	-69	245	3060	-420	-98	-12	-3	1	2024
IOWA	1390	-71	115	3687	-574	-417	-13	-10	1	2024
KANSAS	1234	109	235	3012	-144	-152	-5	-5	1	2024
KENTUCKY	1019	16	297	2489	-294	-29	-11	-1	1	2024
LOUISIANA	590	101	229	1369	188	185	16	16	1	2024
MAINE	1281	-175	114	3740	-750	108	-17	3	1	2024
MARYLAND	905	-114	179	2479	-354	-27	-12	-1	1	2024
MASSACHUSETTS	1083	-126	157	3096	-478	101	-13	3	1	2024
MICHIGAN	1207	-118	156	3400	-545	-80	-14	-2	1	2024
MINNESOTA	1461	-259	-13	4146	-1093	-619	-21	-13	1	2024
MISSISSIPPI	706	65	276	1610	-44	181	-3	13	1	2024
MISSOURI	1190	42	270	2861	-335	-144	-10	-5	1	2024
MONTANA	1391	10	124	4328	-594	-418	-12	-9	1	2024
NEBRASKA	1401	76	169	3593	-369	-343	-9	-9	1	2024
NEVADA	764	0	-122	2167	-165	-395	-7	-15	1	2024
NEW HAMPSHIRE	1180	-225	102	3499	-827	-30	-19	-1	1	2024
NEW JERSEY	968	-123	187	2694	-410	18	-13	1	1	2024
NEW MEXICO	954	14	4	2765	-182	-275	-6	-9	1	2024
NEW YORK	1109	-79	238	3075	-351	140	-10	5	1	2024
NORTH CAROLINA	747	-38	148	2043	-111	12	-5	1	1	2024
NORTH DAKOTA	1608	-187	18	4796	-878	-656	-15	-12	1	2024
OHIO	1130	-69	239	3130	-325	37	-9	1	1	2024
OKLAHOMA	1003	107	275	2277	-105	-7	-4	0	1	2024
OREGON	785	-31	-45	2681	-265	-182	-9	-6	1	2024
PENNSYLVANIA	1039	-120	179	3034	-359	-47	-11	-2	1	2024
RHODE ISLAND	1030	-83	174	2979	-235	135	-7	5	1	2024
SOUTH CAROLINA	627	-39	152	1624	-136	37	-8	2	1	2024
SOUTH DAKOTA	1490	-13	90	4086	-610	-502	-13	-11	1	2024
TENNESSEE	945	56	298	2296	-168	42	-7	2	1	2024
TEXAS	594	60	220	1289	-37	106	-3	9	1	2024
UTAH	1095	-112	-94	3511	-388	-388	-10	-10	1	2024
VERMONT	1278	-209	102	4057	-552	20	-12	0	1	2024
VIRGINIA	873	-69	169	2372	-276	-47	-10	-2	1	2024
WASHINGTON	912	35	71	3116	-108	-50	-3	-2	1	2024
WEST VIRGINIA	1016	-45	206	2773	-331	-65	-11	-2	1	2024
WISCONSIN	1313	-200	95	3790	-740	-334	-16	-8	1	2024
WYOMING	1319	-57	-32	4450	-385	-204	-8	-4	1	2024
