STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	485	30	-26	1094	26	-169	2	-13	7	2023
ALASKA	16	8	10	20	9	8	-999	-999	7	2023
ARIZONA	752	92	106	1403	-206	-230	-13	-14	7	2023
ARKANSAS	496	18	-90	1088	66	-133	6	-11	7	2023
CALIFORNIA	321	93	45	364	-87	-113	-19	-24	7	2023
COLORADO	182	68	-38	234	60	-111	34	-32	7	2023
CONNECTICUT	307	81	8	386	48	-39	14	-9	7	2023
DELAWARE	404	53	0	654	39	-93	6	-12	7	2023
DISTRCT COLUMBIA	521	65	17	922	30	-85	3	-8	7	2023
FLORIDA	555	33	28	2054	194	3	10	0	7	2023
GEORGIA	466	34	-5	951	-34	-189	-3	-17	7	2023
HAWAII	507	45	24	2680	425	101	19	4	7	2023
IDAHO	239	64	-17	311	52	4	20	1	7	2023
ILLINOIS	302	16	-6	542	-1	-131	0	-19	7	2023
INDIANA	277	-8	-27	448	-107	-163	-19	-27	7	2023
IOWA	237	-44	-46	534	-2	-90	0	-14	7	2023
KANSAS	417	-24	-53	799	-45	-162	-5	-17	7	2023
KENTUCKY	349	-1	-44	636	-58	-208	-8	-25	7	2023
LOUISIANA	554	25	36	1558	88	-63	6	-4	7	2023
MAINE	209	102	30	237	101	36	74	18	7	2023
MARYLAND	415	75	20	582	-21	-134	-3	-19	7	2023
MASSACHUSETTS	279	89	8	362	91	-21	34	-5	7	2023
MICHIGAN	179	-24	-13	273	-86	-86	-24	-24	7	2023
MINNESOTA	162	-20	-28	376	51	12	16	3	7	2023
MISSISSIPPI	549	61	9	1326	125	-108	10	-8	7	2023
MISSOURI	391	4	-49	761	14	-130	2	-15	7	2023
MONTANA	132	33	-30	170	28	-21	20	-11	7	2023
NEBRASKA	279	-56	-77	620	-7	-113	-1	-15	7	2023
NEVADA	578	60	40	874	-228	-102	-21	-10	7	2023
NEW HAMPSHIRE	219	83	29	275	83	5	43	2	7	2023
NEW JERSEY	354	72	-10	470	14	-92	3	-16	7	2023
NEW MEXICO	376	86	93	572	18	-2	3	0	7	2023
NEW YORK	313	80	9	421	57	-15	16	-3	7	2023
NORTH CAROLINA	443	47	-15	784	-24	-231	-3	-23	7	2023
NORTH DAKOTA	138	-27	-55	368	79	50	27	16	7	2023
OHIO	264	19	-13	368	-86	-162	-19	-31	7	2023
OKLAHOMA	507	-11	-131	1034	-35	-265	-3	-20	7	2023
OREGON	143	56	-22	219	103	14	89	7	7	2023
PENNSYLVANIA	290	54	1	367	-33	-100	-8	-21	7	2023
RHODE ISLAND	288	94	10	356	89	-23	33	-6	7	2023
SOUTH CAROLINA	507	44	-9	1023	-24	-244	-2	-19	7	2023
SOUTH DAKOTA	214	-50	-85	476	18	-32	4	-6	7	2023
TENNESSEE	383	-1	-71	756	-34	-214	-4	-22	7	2023
TEXAS	668	104	-16	1762	250	-209	17	-11	7	2023
UTAH	326	76	-4	407	13	-55	3	-12	7	2023
VERMONT	142	20	38	175	-1	11	-1	7	7	2023
VIRGINIA	389	55	12	634	20	-139	3	-18	7	2023
WASHINGTON	118	45	-28	194	93	19	92	11	7	2023
WEST VIRGINIA	285	34	2	448	-11	-147	-2	-25	7	2023
WISCONSIN	171	-15	-7	290	-29	-52	-9	-15	7	2023
WYOMING	126	3	-43	139	-44	-85	-24	-38	7	2023
