STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	4	-3	-18	4	-15	-20	-999	-999	2	2024
ALASKA	0	0	0	0	0	0	-999	-999	2	2024
ARIZONA	0	-13	0	0	-16	0	-999	-999	2	2024
ARKANSAS	0	-2	0	0	-3	0	-999	-999	2	2024
CALIFORNIA	0	-2	0	0	-5	0	-999	-999	2	2024
COLORADO	0	0	0	0	0	0	-999	-999	2	2024
CONNECTICUT	0	0	0	0	0	0	-999	-999	2	2024
DELAWARE	0	0	0	0	0	0	-999	-999	2	2024
DISTRCT COLUMBIA	0	0	0	0	0	0	-999	-999	2	2024
FLORIDA	56	-38	-99	100	-91	-150	-48	-60	2	2024
GEORGIA	0	-6	-16	0	-16	-16	-999	-999	2	2024
HAWAII	231	8	-85	477	17	-125	4	-21	2	2024
IDAHO	0	0	0	0	0	0	-999	-999	2	2024
ILLINOIS	0	0	0	0	0	0	-999	-999	2	2024
INDIANA	0	0	0	0	0	0	-999	-999	2	2024
IOWA	0	0	0	0	0	0	-999	-999	2	2024
KANSAS	0	-1	0	0	-1	0	-999	-999	2	2024
KENTUCKY	0	0	0	0	-1	0	-999	-999	2	2024
LOUISIANA	22	1	-35	26	-22	-52	-999	-999	2	2024
MAINE	0	0	0	0	0	0	-999	-999	2	2024
MARYLAND	0	0	0	0	0	0	-999	-999	2	2024
MASSACHUSETTS	0	0	0	0	0	0	-999	-999	2	2024
MICHIGAN	0	0	0	0	0	0	-999	-999	2	2024
MINNESOTA	0	0	0	0	0	0	-999	-999	2	2024
MISSISSIPPI	4	-6	-24	4	-18	-30	-999	-999	2	2024
MISSOURI	0	0	0	0	0	0	-999	-999	2	2024
MONTANA	0	0	0	0	0	0	-999	-999	2	2024
NEBRASKA	0	0	0	0	0	0	-999	-999	2	2024
NEVADA	0	-4	0	0	-5	0	-999	-999	2	2024
NEW HAMPSHIRE	0	0	0	0	0	0	-999	-999	2	2024
NEW JERSEY	0	0	0	0	0	0	-999	-999	2	2024
NEW MEXICO	0	0	0	0	0	0	-999	-999	2	2024
NEW YORK	0	0	0	0	0	0	-999	-999	2	2024
NORTH CAROLINA	0	-1	0	1	-3	1	-999	-999	2	2024
NORTH DAKOTA	0	0	0	0	0	0	-999	-999	2	2024
OHIO	0	0	0	0	0	0	-999	-999	2	2024
OKLAHOMA	0	-3	0	0	-3	0	-999	-999	2	2024
OREGON	0	0	0	0	0	0	-999	-999	2	2024
PENNSYLVANIA	0	0	0	0	0	0	-999	-999	2	2024
RHODE ISLAND	0	0	0	0	0	0	-999	-999	2	2024
SOUTH CAROLINA	0	-5	-16	4	-10	-12	-999	-999	2	2024
SOUTH DAKOTA	0	0	0	0	0	0	-999	-999	2	2024
TENNESSEE	0	-1	-3	0	-3	-3	-999	-999	2	2024
TEXAS	26	7	-7	26	-8	-29	-999	-999	2	2024
UTAH	0	0	0	0	0	0	-999	-999	2	2024
VERMONT	0	0	0	0	0	0	-999	-999	2	2024
VIRGINIA	0	0	0	0	0	0	-999	-999	2	2024
WASHINGTON	0	0	0	0	0	0	-999	-999	2	2024
WEST VIRGINIA	0	0	0	0	0	0	-999	-999	2	2024
WISCONSIN	0	0	0	0	0	0	-999	-999	2	2024
WYOMING	0	0	0	0	0	0	-999	-999	2	2024
